,,,,,,
DATE,TRANSACTION DETAILS,CHQ,VALUE DATE,WITHDRAWAL AMT,DEPOSIT AMT,BALANCE AMT
8 - Jan - 15,INDO GIBL Indiaforensic STL05081,28494883166.0,8 - Jan - 15,"12,500",,"87,237,521"
8 - Jan - 15,INDO GIBL Indiaforensic STL06081,28494943114.0,8 - Jan - 15,"40,000",,"87,197,521"
9 - Jan - 15,INDO GIBL Indiaforensic STL07081,28494895264.0,9 - Jan - 15,"206,900",,"86,990,621"
9 - Jan - 15,INDO GIBL Indiaforensic STL08081,28494916859.0,9 - Jan - 15,"276,000",,"86,714,621,00"
9 - Jan - 15,INDO GIBL Indiaforensic STL09081,28494926549.0,9 - Jan - 15,171.0,,"86,543,621"
9 - Jan - 15,INDO GIBL Indiaforensic STL10081,28494943592.0,9 - Jan - 15,"40,100",,"86,503,521"
10 - Jan - 15,INDO GIBL Indiaforensic STL11081,28494927668.0,10 - Jan - 15,"189,800",,"86,313,721"
10 - Jan - 15,INDO GIBL Indiaforensic STL12081,28494929541.0,10 - Jan - 15,"55,800",,"86,257,921"
10 - Jan - 15,INDO GIBL Indiaforensic STL13081,28494860446.0,10 - Jan - 15,"95,400",,"86,162,521"
10 - Jan - 151,INDO GIBL Indiaforensic STL14081,28494931627.0,10 - Jan - 15,"271,323",,"85,891,198"
10 - Jan - 15,INDO GIBL Indiaforensic STL16081,28494879060.0,10 - Jan - 15,"200,600",,"85,690,598"
10 - Jan - 15,INDO GIBL Indiaforensic STL17081,28494868910.0,10 - Jan - 15,"176,900",,"85,513,698"
10 - Jan - 15,INDO GIBL Indiaforensic STL18081,28494893197.0,10 - Jan - 15,"150,050",,"85,363,648"
10 - Jan - 15,INDO GIBL Indiaforensic STL19081,28494897250.0,10 - Jan - 15,"82,500",,"85,281,148"
10 - Jan - 15,INDO GIBL Indiaforensic STL20081,28494953197.0,10 - Jan - 15,"14,800",,"85,266,348"
10 - Jan - 15,INDO GIBL Indiaforensic STL21081,28494934917.0,10 - Jan - 15 ,"150,600",,"85,115,748"
10 - Jan - 15,INDO GIBL Indiaforensic STL22081,28494925084.0,10 - Jan - 15,"203,325",,"84,912,423"
10 - Jan - 15,INDO GIBL Indiaforensic STL23081,28494931873.0,10 - Jan - 15,"123,900",,"84,788,523"
12 - Jan - 15,INDO GIBL Indiaforensic STL24081,28494887040.0,12 - Jan - 15,"33,863",,"84,754,660"
12 - Jan - 15,INDO GIBL Indiaforensic STL25081,28494967834.0,12 - Jan - 15,"32,000",,"84,722,660"
12 - Jan - 15,INDO GIBL Indiaforensic STL26081,28494933112.0,12 - Jan - 15,"8,299",,"84,714,361"
