DATE,TRANSACTION DETAILS,CHQ.NO./ Ref No.,VALUE DATE,WITHDRAWAL AMT,DEPOSIT AMT,BALANCE AMT
06 - Jan - 15,INDO GIBL Indiaforensic STL22071,28494893861,06 - Jan - 15,"2,06,000",,"8,80,62,500"
06 - Jan - 15,INDO GIBL Indiaforensic STL24071,28494911990,06 - Jan - 15,"35,300",,"8,80,27,200"
06 - Jan - 15,INDO GIBL Indiaforensic STL25071,28494911751,06 - Jan - 15 ,"49,800",,"8,79,77,380"
06 - Jan - 15,INDO GIBL Indiaforensic STL26071,28494973384,06 - Jan - 15,"53,000",,"8,79,24,380"
06 - Jan - 15,INDO GIBL Indiafarensic STL27071,28494884340,06 - Jan - 15,"91,300",,"8,78,33,080"
06 - Jan - 15,INDO GIBL Indiaforensic STL28071,28494942065,06 - Jan - 15 ,"57,499",,"8,77,75,581"
07 - Jan - 15,INDO GIBL Indiaforensic STL30071,28494894067,07 - Jan - 15,"20,000",,"8,77,55,571"
,INDO GIBL Indiaforensic STL31071,28494949297,,"19,400",,"8,77,36,171"
07 - Jan - 15,INDO GIBL Indiaforensic STL01081,28494884546,07 - Jan - 15,"40,500",,"8,76,95,671"
07 - Jan - 15,INDO GIBL Indiaforensic STL02081,28494918410,07 - Jan - 15,"2,42,300",,"8,74,53,371"
08 - Jan - 15,INDO GIBL Indiaforensic STL03081,28494920133,08 - Jan - 15,"90,100",,"8,73,63,271"
08 - Jan - 15,INDO GIBL Indiaforensic STL04081,28494880910,08 - Jan - 15,"1,13,250",,"8,72,50,021"
08 - Jan - 15,INDO GIBL Indiaforensic STL05081,28494883166,08 - Jan - 15,"12,500",,"8,72,37,521"
08 - Jan - 15,INDO GIBL Indiaforensic STL06081,28494943114,"08 - Jan - 15 ,","40,000",,"8,71,97,521"
09 - Jan - 15,INDO GIBL Indiaforensic STL07081,28494895264,09 - Jan - 15,"2,06,900",,"8,69,90,621"
09 - Jan - 15,INDO GIBL Indiaforensic STL08081,28494916859,09 - Jan - 15,"2,76,000",,"8,67,14,621"
09 - Jan - 15,INDO GIBL Indiaforensic STL09081,28494926549,09 - Jan - 15,"1,71,000",,"8,65,43,621"
09 - Jan - 15,INDO GIBL Indiaforensic STL10081,28494943592,09 - Jan - 15,"40,100",,"8,65,03,521"
10 - Jan - 15,INDO GIBL Indiaforensic STL11081,28494927668,10 - Jan - 15,"1,89,800",,"8,63,13,721"
10 - Jan - 15,INDO GIBL Indiaforensic STL12081,28494929541,10 - Jan - 15,"55,800",,"8,62,57,921"
