"DATE","TRANSACTION DETAILS","CHQ.NO./ Ref No.","VALUE DATE","WITHDRAWAL AMT","DEPOSIT AMT","BALANCE AMT",
"14-Jan-15","INDO GIBL Indiaforensic STL05091","28494955256","14-Jan-15","71,000.00","","8,40,91,255.00",
"14-Jan-15","INDO GIBL Indiaforensic STL06091","28494903576","14-Jan-15","1,29,400.00","","8,39,61,855.00",
"15-Jan-15","INDO GIBL Indiaforensic STL07091","28494910978","15-Jan-15","2,90,163.00","","8,36,71,692.00",
"15-Jan-15","INDO GIBL Indiaforensic STL08091","28494971443","15-Jan-15","34,300.00","","8,36,37,392.00",
"15-Jan-15","INDO GIBL Indiaforensic STL09091","","15-Jan-15","49,800.00","","8,35,87,592.00",
"15-Jan-15","INDO GIBL Indiaforensic STL10091","28494906271","15-Jan-15","44,800.00","","8,35,42,792.00",
"15-Jan-15","INDO GIBL Indiaforensic STL11091","28494880372","15-Jan-15","1,51,550.00","","8,33,91,242.00",
"15-Jan-15","INDO GIBL Indiaforensic STL12091","28494905656","15-Jan-15","3,10,399.00","","8,30,80,843.00",
"15-Jan-15","INDO GIBL Indiaforensic STL13091","28494890265","15-Jan-15","2,71,401.00","","8,28,09,442.00",
"15-Jan-15","INDO GIBL Indiaforensic STL14091","28494887830","15-Jan-15","2,75,449.00","","8,25,33,993.00",
"15-Jan-15","INDO GIBL Indiaforensic STL15091","28494875039","15-Jan-15","51,502.00","","8,24,82,491.00",
"15-Jan-15","INDO GIBL Indiaforensic STL16091","28494950373","15-Jan-15","36,650.00","","8,24,45,841.00",
"15-Jan-15","INDO GIBL Indiaforensic STL17091","28494939977","15-Jan-15","99,600.00","","8,23,46,241.00",
"16-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494949249","16-Jan-15","","5,00,000.00","8,28,46,241.00",
"16-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494888731","16-Jan-15","","5,00,000.00","8,33,46,241.00",
"16-Jan-15","FDRL/INTERNAL FUND TRANSFER","","16-Jan-15","","5,00,000.00","8,38,46,241.00",
"16-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494971601","16-Jan-15","","5,00,000.00","8,43,46,241.00",
"16-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494967098","16-Jan-15","","5,00,000.00","8,48,46,241.00",
"16-Jan-15","INDO GIBL Indiaforensic STL18091","28494932596","16-Jan-15","4,11,763.00","","8,44,34,478.00",
"16-Jan-15","INDO GIBL Indiaforensic STL19091","28494926571","16-Jan-15","3,55,138.00","","8,40,79,340.00",
"16-Jan-15","INDO GIBL Indiaforensic STL20091","28494943952","16-Jan-15","88,656.00","","8,39,90,684.00",
"17-Jan-15","INDO GIBL Indiaforensic STL21091","28494970615","17-Jan-15","14,800.00","","8,39,75,884.00",
"17-Jan-15","INDO GIBL Indiaforensic STL22091","28494869990","17-Jan-15","27,000.00","","8,39,48,884.00",
"17-Jan-15","INDO GIBL Indiaforensic STL23091","28494915614","17-Jan-15","42,850.00","","8,39,06,034.00",
"17-Jan-15","INDO GIBL Indiaforensic STL24091","28494938814","17-Jan-15","39,925.00","","8,38,66,109.00",
"17-Jan-15","INDO GIBL Indiaforensic STL25091","28494974935","17-Jan-15","2,02,106.00","","8,36,64,003.00",
"17-Jan-15","INDO GIBL Indiaforensic STL26091","28494883808","17-Jan-15","1,69,802.00","","8,34,94,201.00",
"17-Jan-15","INDO GIBL Indiaforensic STL27091","28494965853","17-Jan-15","2,00,570.00","","8,32,93,631.00",
"","INDO GIBL Indiaforensic STL28091","28494909474","","12,106.00","","8,32,81,525.00",
"17-Jan-15","INDO GIBL Indiaforensic STL29091","28494936041","17-Jan-15","12,611.00","","8,32,68,914.00",
"17-Jan-15","INDO GIBL Indiaforensic STL30091","28494931372","17-Jan-15","9,375.00","","8,32,59,539.00",
"17-Jan-15","INDO GIBL Indiaforensic STL03101","28494963743","17-Jan-15","1,25,200.00","","8,31,34,339.00",
"17-Jan-15","INDO GIBL Indiaforensic STL04101","28494911898","17-Jan-15","61,400.00","","8,30,72,939.00",
"17-Jan-15","INDO GIBL Indiaforensic STL05101","28494887374","17-Jan-15","1,43,700.00","","8,29,29,239.00",
"17-Jan-15","FDRL/INTERNAL FUND TRANSFER","","17-Jan-15","","5,00,000.00","8,34,29,239.00",
"17-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494870764","17-Jan-15","","5,00,000.00","8,39,29,239.00",
"17-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494862005","17-Jan-15","","5,00,000.00","8,44,29,239.00",
"19-Jan-15","INDO GIBL Indiaforensic STL06101","28494963360","19-Jan-15","6,000.00","","8,44,23,239.00",
"19-Jan-15","INDO GIBL Indiaforensic STL07101","28494905296","19-Jan-15","97,950.00","","8,43,25,289.00",
"19-Jan-15","INDO GIBL Indiaforensic STL08101","28494884136","19-Jan-15","33,000.00","","8,42,92,289.00",
"19-Jan-15","INDO GIBL Indiaforensic STL09101","28494948407","19-Jan-15","3,29,300.00","","8,39,62,989.00",
"19-Jan-15","INDO GIBL Indiaforensic STL10101","28494936829","19-Jan-15","18,000.00","","8,39,44,989.00",
"19-Jan-15","INDO GIBL Indiaforensic STL11101","28494922444","19-Jan-15","1,13,400.00","","8,38,31,589.00",
"19-Jan-15","INDO GIBL Indiaforensic STL12101","28494887467","19-Jan-15","2,62,226.00","","8,35,69,363.00",
"19-Jan-15","INDO GIBL Indiaforensic STL13101","28494919881","19-Jan-15","3,18,750.00","","8,32,50,613.00",
"19-Jan-15","INDO GIBL Indiaforensic STL14101","28494923378","19-Jan-15","65,549.00","","8,31,85,064.00",
"19-Jan-15","INDO GIBL Indiaforensic STL17101","28494914932","19-Jan-15","2,06,501.00","","8,29,78,563.00",
"19-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494899736","19-Jan-15","","5,00,000.00","8,34,78,563.00",
"19-Jan-15","INDO GIBL Indiaforensic STL18101","","19-Jan-15","85,000.00","","8,33,93,563.00",
"19-Jan-15","INDO GIBL Indiaforensic STL19101","28494938309","19-Jan-15","76,389.00","","8,33,17,174.00",
"20-Jan-15","INDO GIBL Indiaforensic STL20101","28494921925","20-Jan-15","62,725.00","","8,32,54,449.00",
"20-Jan-15","INDO GIBL Indiaforensic STL21101","28494961233","20-Jan-15","39,000.00","","8,32,15,449.00",
"20-Jan-15","INDO GIBL Indiaforensic STL22101","28494964041","20-Jan-15","9,600.00","","8,32,05,849.00",
"20-Jan-15","INDO GIBL Indiaforensic STL23101","28494954181","20-Jan-15","1,23,260.00","","8,30,82,589.00",
"20-Jan-15","INDO GIBL Indiaforensic STL24101","28494913845","20-Jan-15","3,69,803.00","","8,27,12,786.00",
"20-Jan-15","INDO GIBL Indiaforensic STL25101","28494895652","20-Jan-15","1,70,125.00","","8,25,42,661.00",
"20-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494883441","20-Jan-15","","5,00,000.00","8,30,42,661.00",
"20-Jan-15","INDO GIBL Indiaforensic STL26101","28494968139","20-Jan-15","2,08,000.00","","8,28,34,661.00",
"21-Jan-15","FDRL/INTERNAL FUND TRANSFER","","21-Jan-15","","5,00,000.00","8,33,34,661.00",
"21-Jan-15","INDO GIBL Indiaforensic STL27101","28494906722","21-Jan-15","2,91,150.00","","8,30,43,511.00",
"21-Jan-15","INDO GIBL Indiaforensic STL28101","28494923850","21-Jan-15","24,000.00","","8,30,19,511.00",
"21-Jan-15","INDO GIBL Indiaforensic STL30101","28494919939","21-Jan-15","1,41,546.00","","8,28,77,965.00",
"21-Jan-15","INDO GIBL Indiaforensic STL31101","28494890206","21-Jan-15","80,000.00","","8,27,97,965.00",
"22-Jan-15","INDO GIBL Indiaforensic STL01111","28494919974","22-Jan-15","46,250.00","","8,27,51,715.00",
"22-Jan-15","INDO GIBL Indiaforensic STL02111","28494952347","22-Jan-15","42,825.00","","8,27,08,890.00",
"22-Jan-15","INDO GIBL Indiaforensic STL03111","28494894620","22-Jan-15","1,79,463.00","","8,25,29,427.00",
"22-Jan-15","INDO GIBL Indiaforensic STL04111","28494864487","22-Jan-15","18,949.00","","8,25,10,478.00",
"22-Jan-15","INDO GIBL Indiaforensic STL05111","28494940301","22-Jan-15","91,441.00","","8,24,19,037.00",
"23-Jan-15","INDO GIBL Indiaforensic STL06111","28494926534","23-Jan-15","1,47,750.00","","8,22,71,287.00",
"23-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494897075","23-Jan-15","","5,00,000.00","8,27,71,287.00",
"23-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494886362","23-Jan-15","15000000","","6,77,71,287.00",
"23-Jan-15","","28494914726","23-Jan-15","1,10,188.00","","6,76,61,099.00",
"23-Jan-15","INDO GIBL Indiaforensic STL08111","28494966165","23-Jan-15","61,870.00","","6,75,99,229.00",
"","INDO GIBL Indiaforensic STL09111","28494878996","","84,101.00","","6,75,15,128.00",
"23-Jan-15","INDO GIBL Indiaforensic STL10111","28494928537","23-Jan-15","1,29,700.00","","6,73,85,428.00",
"23-Jan-15","INDO GIBL Indiaforensic STL11111","28494945678","23-Jan-15","7,499.00","","6,73,77,929.00",
"23-Jan-15","INDO GIBL Indiaforensic STL12111","28494941112","23-Jan-15","80,100.00","","6,72,97,829.00",
"23-Jan-15","INDO GIBL Indiaforensic STL13111","28494972481","23-Jan-15","1,43,850.00","","6,71,53,979.00",
"23-Jan-15","INDO GIBL Indiaforensic STL14111","28494921702","23-Jan-15","2,89,500.00","","6,68,64,479.00",
"23-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494952478","23-Jan-15","","5,00,000.00","6,73,64,479.00",
"23-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494862095","23-Jan-15","","5,00,000.00","6,78,64,479.00",
"23-Jan-15","INDO GIBL Indiaforensic STL16111","28494913947","23-Jan-15","94,900.00","","6,77,69,579.00",
"23-Jan-15","INDO GIBL Indiaforensic STL15111","28494872949","23-Jan-15","2,24,851.00","","6,75,44,728.00",
"23-Jan-15","INDO GIBL Indiaforensic STL17111","28494973661","23-Jan-15","2,84,953.00","","6,72,59,775.00",
"24-Jan-15","INDO GIBL Indiaforensic STL18111","28494914095","24-Jan-15","1,15,150.00","","6,71,44,625.00",
"","INDO GIBL Indiaforensic STL19111","28494912078","","40,000.00","","6,71,04,625.00",
"24-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494973638","24-Jan-15","","5,00,000.00","6,76,04,625.00",
"24-Jan-15","INDO GIBL Indiaforensic STL20111","28494860037","24-Jan-15","1,45,900.00","","6,74,58,725.00",
"24-Jan-15","INDO GIBL Indiaforensic STL21111","28494902695","24-Jan-15","83,251.00","","6,73,75,474.00",
"27-Jan-15","INDO GIBL Indiaforensic STL22111","28494877297","27-Jan-15","1,92,200.00","","6,71,83,274.00",
"27-Jan-15","INDO GIBL Indiaforensic STL23111","28494917629","27-Jan-15","74,799.00","","6,71,08,475.00",
"27-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494888022","27-Jan-15","","5,00,000.00","6,76,08,475.00",
"27-Jan-15","INDO GIBL Indiaforensic STL24117","28494885072","27-Jan-15","19,400.00","","6,75,89,075.00",
"27-Jan-15","INDO GIBL Indiaforensic STL25117","28494928167","27-Jan-15","39,700.00","","6,75,49,375.00",
"27-Jan-15","INDO GIBL Indiaforensic STL26117","28494948213","27-Jan-15","42,800.00","","6,75,06,575.00",
"27-Jan-15","INDO GIBL Indiaforensic STL27111","28494961278","27-Jan-15","1,00,402.00","","6,74,06,173.00",
"27-Jan-15","INDO GIBL Indiaforensic STL28111","28494869349","27-Jan-15","1,01,500.00","","6,73,04,673.00",
"27-Jan-15","INDO GIBL Indiaforensic STL29111","28494935917","27-Jan-15","36,961.00","","6,72,67,712.00",
"27-Jan-15","","28494881588","27-Jan-15","67,850.00","","6,71,99,862.00",
"27-Jan-15","INDO GIBL Indiaforensic STL01121","28494884786","27-Jan-15","19,800.00","","6,71,80,062.00",
"27-Jan-15","INDO GIBL Indiaforensic STL02121","28494910513","27-Jan-15","10,000.00","","6,71,70,062.00",
"28-Jan-15","INDO GIBL Indiaforensic STL03121","28494896635","28-Jan-15","24,500.00","","6,71,45,562.00",
"28-Jan-15","INDO GIBL Indiaforensic STL04121","28494885594","28-Jan-15","41,700.00","0","6,71,03,862.00",
"28-Jan-15","FDRL/INTERNAL FUND TRANSFER","38494860037","28-Jan-15","","5,00,000.00","6,76,03,862.00",
"28-Jan-15","INDO GIBL Indiaforensic STL05121","28494911582","28-Jan-15","2,18,050.00","","6,73,85,812.00",
"28-Jan-15","INDO GIBL Indiaforensic STL06121","28494907848","28-Jan-15","1,86,40,000.00","","4,87,45,812.00",
"29-Jan-15","INDO GIBL Indiaforensic STL07121","28494906681","29-Jan-15","1,71,33,000.00","","3,16,12,812.00",
"29-Jan-15","INDO GIBL Indiaforensic STL08121","28494892326","29-Jan-15","34,40,000.00","","2,81,72,812.00",
"29-Jan-15","INDO GIBL Indiaforensic STL09121","28494873302","29-Jan-15","51,19,900.00","","2,30,52,912.00",
"29-Jan-15","INDO GIBL Indiaforensic STL10121","28494974535","29-Jan-15","15,91,500.00","","2,14,61,412.00",
"29-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494891170","29-Jan-15","","5,00,000.00","2,19,61,412.00",
"29-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494889690","29-Jan-15","","5,00,000.00","2,24,61,412.00",
"29-Jan-15","INDO GIBL Indiaforensic STL11121","28494975031","29-Jan-15","2,06,075.00","","2,22,55,337.00",
"29-Jan-15","INDO GIBL Indiaforensic STL12121","28494896871","29-Jan-15","14,20,000.00","","2,08,35,337.00",
"29-Jan-15","INDO GIBL Indiaforensic STL13121","28494867174","29-Jan-15","35,03,500.00","","1,73,31,837.00",
"29-Jan-15","INDO GIBL Indiaforensic STL14121","28494872915","29-Jan-15","3,43,900.00","","1,69,87,937.00",
"29-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494896521","29-Jan-15","","5,00,000.00","1,74,87,937.00",
"30-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494898991","30-Jan-15","15000000","","24,87,927.00",
"30-Jan-15","INDO GIBL Indiaforensic STL15121","","30-Jan-15","2,10,500.00","","22,77,427.00",
"30-Jan-15","INDO GIBL Indiaforensic STL17121","28494864081","30-Jan-15","1,39,500.00","","21,37,927.00",
"30-Jan-15","INDO GIBL Indiaforensic STL16121","28494929028","30-Jan-15","92,550.00","","20,45,377.00",
"30-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494915682","30-Jan-15","","5,00,000.00","25,45,377.00",
"30-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494906801","30-Jan-15","1500000","","10,45,377.00",
"30-Jan-15","INDO GIBL Indiaforensic STL18121","28494935182","30-Jan-15","6,54,498.00","","3,90,879.00",
"30-Jan-15","INDO GIBL Indiaforensic STL19121","28494935182","30-Jan-15","5,04,450.00","","-1,13,571.00",
"30-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494872603","30-Jan-15","","5,00,000.00","3,86,429.00",
"30-Jan-15","INDO GIBL Indiaforensic STL20121","28494869744","30-Jan-15","","5334232","57,20,661.00",
"30-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494885685","30-Jan-15","","5,00,000.00","62,20,661.00",
"30-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494899056","30-Jan-15","","5,00,000.00","67,20,661.00",
"30-Jan-15","INDO GIBL Indiaforensic STL21121","28494915651","30-Jan-15","1,46,050.00","","65,74,611.00",
"31-Jan-15","INDO GIBL Indiaforensic STL22121","28494902377","31-Jan-15","1,00,300.00","","64,74,311.00",
"31-Jan-15","INDO GIBL Indiaforensic STL23121","28494944517","31-Jan-15","62,425.00","","64,11,886.00",
"31-Jan-15","INDO GIBL Indiaforensic STL24121","28494973740","31-Jan-15","3,65,300.00","","60,46,586.00",
"31-Jan-15","INDO GIBL Indiaforensic STL25121","28494879761","31-Jan-15","23,550.00","","60,23,036.00",
"02-Feb-15","FDRL/INTERNAL FUND TRANSFER","28494926052","02-Feb-15","","5,00,000.00","65,23,036.00",
"02-Feb-15","INDO GIBL Indiaforensic STL26121","28494969766","02-Feb-15","2,59,525.00","","62,63,511.00",
"02-Feb-15","INDO GIBL Indiaforensic STL27121","28494916546","02-Feb-15","3,83,110.00","","58,80,401.00",
"","INDO GIBL Indiaforensic STL28121","28494883314","","1,38,150.00","","57,42,251.00",
"02-Feb-15","FDRL/INTERNAL FUND TRANSFER","28494956317","02-Feb-15","","5,00,000.00","62,42,251.00",
"02-Feb-15","INDO GIBL Indiaforensic STL29121","28494917878","02-Feb-15","2,85,399.00","","59,56,852.00",
"02-Feb-15","INDO GIBL Indiaforensic STL31121","28494934629","02-Feb-15","14,000.00","","59,42,852.00",
"03-Feb-15","INDO GIBL Indiaforensic STL30121","28494955651","03-Feb-15","54,250.00","","58,88,602.00",
"03-Feb-15","INDO GIBL Indiaforensic STL01011","28494870040","03-Feb-15","1,47,500.00","","57,41,102.00",
"03-Feb-15","FDRL/INTERNAL FUND TRANSFER","28494965282","03-Feb-15","","5,00,000.00","62,41,102.00",
"03-Feb-15","INDO GIBL Indiaforensic STL02011","28494948718","03-Feb-15","3,23,500.00","","59,17,602.00",
"03-Feb-15","INDO GIBL Indiaforensic STL03011","28494859429","03-Feb-15","1,80,300.00","","57,37,302.00",
"03-Feb-15","FDRL/INTERNAL FUND TRANSFER","28494945580","03-Feb-15","","5,00,000.00","62,37,302.00",
"03-Feb-15","FDRL/INTERNAL FUND TRANSFER","28494871692","03-Feb-15","","5,00,000.00","67,37,302.00",
"03-Feb-15","INDO GIBL Indiaforensic STL04011","","03-Feb-15","2,22,800.00","","65,14,502.00",
"03-Feb-15","INDO GIBL Indiaforensic STL05011","28494963581","03-Feb-15","1,45,450.00","","63,69,052.00",
"03-Feb-15","INDO GIBL Indiaforensic STL06011","28494964465","03-Feb-15","1,82,000.00","","61,87,052.00",
"03-Feb-15","INDO GIBL Indiaforensic STL07011","28494873330","03-Feb-15","2,05,075.00","","59,81,977.00",
"03-Feb-15","INDO GIBL Indiaforensic STL08011","28494914242","03-Feb-15","1,70,500.00","","58,11,477.00",
"04-Feb-15","","28494863799","04-Feb-15","","5,00,000.00","63,11,477.00",
"04-Feb-15","INDO GIBL Indiaforensic STL09011","28494947204","04-Feb-15","4,95,252.00","","58,16,225.00",
"04-Feb-15","INDO GIBL Indiaforensic STL10011","28494878396","04-Feb-15","2,56,600.00","","55,59,625.00",
"04-Feb-15","FDRL/INTERNAL FUND TRANSFER","28494953706","04-Feb-15","","5,00,000.00","60,59,625.00",
"04-Feb-15","FDRL/INTERNAL FUND TRANSFER","28494876751","04-Feb-15","","5,00,000.00","65,59,625.00",
"04-Feb-15","FDRL/INTERNAL FUND TRANSFER","28494917123","04-Feb-15","","5,00,000.00","70,59,625.00",
"04-Feb-15","FDRL/INTERNAL FUND TRANSFER","28494870740","04-Feb-15","","5,00,000.00","75,59,625.00",
"04-Feb-15","INDO GIBL Indiaforensic STL14011","28494863860","04-Feb-15","5,000.00","","75,54,625.00",
"04-Feb-15","INDO GIBL Indiaforensic STL11011","28494934050","04-Feb-15","3,48,200.00","","72,06,425.00",
"04-Feb-15","INDO GIBL Indiaforensic STL13011","28494901422","04-Feb-15","1,12,900.00","","70,93,525.00",
"04-Feb-15","INDO GIBL Indiaforensic STL12011","28494872944","04-Feb-15","3,92,251.00","","67,01,274.00",
