"","","","","","",""
"TABLE 1","","","","","",""
"","","","","","",""
"DATE","TRANSACTION DETAILS","CHQ.NO./ Ref No.","VALUE DATE","WITHDRAWAL AMT","DEPOSIT AMT","BALANCE AMT"
"05 - Jan - 15","INDO GIBL Indiaforensic STL13071","28494930171","05 - Jan - 15","2,30,013.00","","8,91,93,620.00"
"05 - Jan - 15","INDO GIBL Indiaforensic STL14071","28494927118","05 - Jan - 15","3,67,900.00","","8,88,25,720.00"
"05 - Jan - 15","INDO GIBL Indiaforensic STL15071","28494973661","05 - Jan - 15","1,08,000.00","","8,87,17,720.00"
"05 - Jan - 15","INDO GIBL Indiaforensic STL16071","28494912451","05 - Jan - 15","64,800.00","","8,86,52,920.00"
"05 - Jan - 15","INDO GIBL Indiaforensic STL17071","28494880266","05 - Jan - 15","1,41,000.00","","8,85,11,920.00"
"05 - Jan - 15","INDO GIBL Indiaforensic STL18071","28494880897","05 - Jan - 15","61,750.00","","8,84,50,170.00"
"05 - Jan - 15","INDO GIBL Indiaforensic STL19071","28494901044","05 - Jan - 15","67,920.00","","8,83,82,250.00"
"05 - Jan - 15","INDO GIBL Indiaforensic STL20071","28494965834","05 - Jan - 15","78,100.00","","8,83,04,150.00"
"05 - Jan - 15","INDO GIBL Indiaforensic STL21071","28494888819","05 - Jan - 15","35,650.00","","8,82,68,500.00"
"06 - Jan - 15","INDO GIBL Indiaforensic STL22071","28494893861","06 - Jan - 15","2,06,000.00","","8,80,62,500.00"
"06 - Jan - 15","INDO GIBL Indiaforensic STL24071","28494911990","06 - Jan - 15","35,300.00","","8,80,27,200.00"
"06 - Jan - 15","INDO GIBL Indiaforensic STL25071","28494911751","06 - Jan - 15 .","49,800.00","","8,79,77,380.00"
"06 - Jan - 15","INDO GIBL Indiaforensic STL26071","28494973384","06 - Jan - 15","53,000.00","","8,79,24,380.00"
"06 - Jan - 15","INDO GIBL Indiaforensic STL27071","28494884340","06 - Jan - 15","91,300.00","","8,78,33,080.00"
"06 - Jan - 15","INDO GIBL Indiaforensic STL28071","28494942065","06 - Jan - 15 .","57,499.00","","8,77,75,581.00"
"07 - Jan - 15","INDO GIBL Indiaforensic STL30071","28494894067","07 - Jan - 15","20,000.00","","8,77,55,571.00"
"","INDO GIBL Indiaforensic STL31071","28494949297","","19,400.00","","8,77,36,171.00"
"07 - Jan - 15","INDO GIBL Indiaforensic STL01081","28494884546","07 - Jan - 15","40,500.00","","8,76,95,671.00"
"07 - Jan - 15","INDO GIBL Indiaforensic STL02081","28494918410","07 - Jan - 15","2,42,300.00","","8,74,53,371.00"
"08 - Jan - 15","INDO GIBL Indiaforensic STL03081","28494920133","08 - Jan - 15","90,100.00","","8,73,63,271.00"
"08 - Jan - 15","INDO GIBL Indiaforensic STL04081","28494880910","08 - Jan - 15","1,13,250.00","","8,72,50,021.00"
"08 - Jan - 15","INDO GIBL Indiaforensic STL05081","28494883166","08 - Jan - 15","12,500.00","","8,72,37,521.00"
"08 - Jan - 15","INDO GIBL Indiaforensic STL06081","28494943114","08 - Jan - 15 ,","40,000.00","","8,71,97,521.00"
"09 - Jan - 15","INDO GIBL Indiaforensic STL07081","28494895264","09 - Jan - 15","2,06,900.00","","8,69,90,621.00"
"09 - Jan - 15","INDO GIBL Indiaforensic STL08081","28494916859","09 - Jan - 15","2,76,000.00","","8,67,14,621.00"
"09 - Jan - 15","INDO GIBL Indiaforensic STL09081","28494926549","09 - Jan - 15","1,71,000.00","","8,65,43,621.00"
"09 - Jan - 15","INDO GIBL Indiaforensic STL10081","28494943592","09 - Jan - 15","40,100.00","","8,65,03,521.00"
"10 - Jan - 15","INDO GIBL Indiaforensic STL11081","28494927668","10 - Jan - 15","1,89,800.00","","8,63,13,721.00"
"10 - Jan - 15","INDO GIBL Indiaforensic STL12081","28494929541","10 - Jan - 15","55,800.00","","8,62,57,921.00"
