,,,,,,
TABLE 1,,,,,,
,,,,,,
DATE,TRANSACTION DETAILS,CHQ.NO./ Ref No.,VALUE DATE,WITHDRAWAL AMT,DEPOSIT AMT,BALANCE AMT
03 - Jan - 15,INDO GIBL Indiaforensic STL07071,28494876586.0,03 - Jan - 15,9850000.0,,-8603101.0
05 - Jan - 15,INDO GIBL Indiaforensic STL10071,28494960197.0,05 - Jan - 15,,98487384.0,89884283.0
05 - Jan - 15,INDO GIBL Indiaforensic STL11071,28494867308.0,05 - Jan - 15,3.31.650.00,,89552633.0
05 - Jan - 15,INDO GIBL Indiaforensic STL12071,28494877713.0,05 - Jan - 15,129000.0,,89423633.0
05 - Jan - 15,INDO GIBL Indiaforensic STL13071,28494930171.0,05 - Jan - 15,230013.0,,89193620.0
05 - Jan - 15,INDO GIBL Indiaforensic STL14071,28494927118.0,05 - Jan - 15,367900.0,,88825720.0
05 - Jan - 15,INDO GIBL Indiaforensic STL15071,28494973661.0,05 - Jan - 15,108000.0,,88717720.0
05 - Jan - 15,INDO GIBL Indiaforensic STL16071,28494912451.0,05 - Jan - 15,64800.0,,88652920.0
05 - Jan - 15,INDO GIBL Indiaforensic STL17071,28494880266.0,05 - Jan - 15,141000.0,,88511920.0
05 - Jan - 15,INDO GIBL Indiaforensic STL18071,28494880897.0,05 - Jan - 15,61750.0,,88450170.0
05 - Jan - 15,INDO GIBL Indiaforensic STL19071,28494901044.0,05 - Jan - 15,67920.0,,88382250.0
05 - Jan - 15,INDO GIBL Indiaforensic STL20071,28494965834.0,05 - Jan - 15,78100.0,,88304150.0
05 - Jan - 15,INDO GIBL Indiaforensic STL21071,28494888819.0,05 - Jan - 15,35650.0,,88268500.0
06 - Jan - 15,INDO GIBL Indiaforensic STL22071,28494893861.0,06 - Jan - 15,206000.0,,88062500.0
06 - Jan - 15,INDO GIBL Indiaforensic STL24071,28494911990.0,06 - Jan - 15,35300.0,,88027200.0
06 - Jan - 15,INDO GIBL Indiaforensic STL25071,28494911751.0,06 - Jan - 15 .,49800.0,,87977380.0
06 - Jan - 15,INDO GIBL Indiaforensic STL26071,28494973384.0,06 - Jan - 15,53000.0,,87924380.0
06 - Jan - 15,INDO GIBL Indiaforensic STL27071,28494884340.0,06 - Jan - 15,91300.0,,87833080.0
06 - Jan - 15,INDO GIBL Indiaforensic STL28071,28494942065.0,06 - Jan - 15 .,57499.0,,87775581.0
07 - Jan - 15,INDO GIBL Indiaforensic STL30071,28494894067.0,07 - Jan - 15,20000.0,,87755571.0
,INDO GIBL Indiaforensic STL31071,28494949297.0,,19400.0,,87736171.0
07 - Jan - 15,INDO GIBL Indiaforensic STL01081,28494884546.0,07 - Jan - 15,40500.0,,87695671.0
07 - Jan - 15,INDO GIBL Indiaforensic STL02081,28494918410.0,07 - Jan - 15,242300.0,,87453371.0
08 - Jan - 15,INDO GIBL Indiaforensic STL03081,28494920133.0,08 - Jan - 15,90100.0,,87363271.0
08 - Jan - 15,INDO GIBL Indiaforensic STL04081,28494880910.0,08 - Jan - 15,113250.0,,87250021.0
08 - Jan - 15,INDO GIBL Indiaforensic STL05081,28494883166.0,08 - Jan - 15,12500.0,,87237521.0
08 - Jan - 15,INDO GIBL Indiaforensic STL06081,28494943114.0,08 - Jan - 15 ,40000.0,,87197521.0
09 - Jan - 15,INDO GIBL Indiaforensic STL07081,28494895264.0,09 - Jan - 15,206900.0,,86990621.0
09 - Jan - 15,INDO GIBL Indiaforensic STL08081,28494916859.0,09 - Jan - 15,276000.0,,86714621.0
09 - Jan - 15,INDO GIBL Indiaforensic STL09081,28494926549.0,09 - Jan - 15,171000.0,,86543621.0
09 - Jan - 15,INDO GIBL Indiaforensic STL10081,28494943592.0,09 - Jan - 15,40100.0,,86503521.0
10 - Jan - 15,INDO GIBL Indiaforensic STL11081,28494927668.0,10 - Jan - 15,189800.0,,86313721.0
10 - Jan - 15,INDO GIBL Indiaforensic STL12081,28494929541.0,10 - Jan - 15,55800.0,,86257921.0
