"DATE","","TRANSACTION DETAILS","CHQ.NO./ Ref No.","VALUE DATE","WITHDRAWAL AMT","DEPOSIT AMT","BALANCE AMT",
"15-Mar-16","CR812916900810/RMCPL20328/0","","28494900377","15-Mar-16","1,500.00","","4,09,002.54",
"15-Mar-16","CR812916900807/RMCPL16293/0","","28494942194","15-Mar-16","1,000.00","","4,08,002.54",
"15-Mar-16","AEPS INCOME DT 11-05-2018","","28494881362","15-Mar-16","","60,025.45","4,68,027.99",
"15-Mar-16","AEPS GST INC DT 11-05-201","","28494969476","15-Mar-16","","12,005.09","4,80,033.08",
"15-Mar-16","AEPS INCOME DT 12-05-2018","","28494861817","15-Mar-16","","55,138.28","5,35,171.36",
"15-Mar-16","AEPS GST INC DT 12-05-201","","28494910641","15-Mar-16","","11,027.66","5,46,199.02",
"15-Mar-16","AEPS INCOME DT 13-05-2018","","28494967905","15-Mar-16","","30,276.59","5,76,475.61",
"15-Mar-16","AEPS GST INC DT 13-05-201","","28494975241","15-Mar-16","","6,055.32","5,82,530.93",
"15-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494941618","15-Mar-16","","2,27,62,100.00","2,33,44,630.93",
"15-Mar-16","TRF TO","Indiaforensic SERVICES I","28494937040","15-Mar-16","1,50,00,000.00","","83,44,630.93",
"15-Mar-16","TRF TO","Indiaforensic SERVICES I","28494970114","15-Mar-16","79,00,000.00","","4,44,630.93",
"15-Mar-16","AEPS INCOME DT 14-05-2018","","28494924205","15-Mar-16","","55,161.44","4,99,792.37",
"15-Mar-16","AEPS GST INC DT 14-05-201","","28494959686","15-Mar-16","","11,032.29","5,10,824.66",
"15-Mar-16","AEPS ACQUIRING ADJ FEES 1","","28494930808","15-Mar-16","21","","5,10,804.01",
"15-Mar-16","AEPS ACQ CR ADJ FEES 1405","","28494936707","15-Mar-16","269","","5,10,534.97",
"15-Mar-16","CR811410642644/RMCPL25522/2","","28494911685","15-Mar-16","1,000.00","","5,09,534.97",
"15-Mar-16","CR811412681159/RMCPL17890/2","","28494864470","15-Mar-16","7,000.00","","5,02,534.97",
"15-Mar-16","CR811416762463/RMCPL22341/2","","28494974916","15-Mar-16","1,700.00","","5,00,834.97",
"15-Mar-16","CR811416762476/RMCPL21054/2","","28494870958","15-Mar-16","3,000.00","","4,97,834.97",
"15-Mar-16","CR811416762488/RMCPL16727/2","","28494944791","15-Mar-16","4,000.00","","4,93,834.97",
"15-Mar-16","CR811411668097/RMCPL24928/2","","28494869206","15-Mar-16","7,000.00","","4,86,834.97",
"15-Mar-16","CR811409614800/RMCPL16899/2","","28494916945","15-Mar-16","5,000.00","","4,81,834.97",
"15-Mar-16","CR811412695728/RMCPL18165/2","","28494893539","15-Mar-16","500","","4,81,334.97",
"15-Mar-16","CR811410642654/RMCPL11966/2","","28494897602","15-Mar-16","1,000.00","","4,80,334.97",
"15-Mar-16","CR811412681032/RMCPL18460/2","","28494924895","15-Mar-16","3,000.00","","4,77,334.97",
"15-Mar-16","","bank settlement","0","15-Mar-16","1,000.00","","4,76,334.97",
"15-Mar-16","CR813011086738/RMCPL20680/1","","28494930513","15-Mar-16","600","","4,75,734.97",
"15-Mar-16","CR813011086720/RMCPL21336/1","","28494885487","15-Mar-16","500","","4,75,234.97",
"15-Mar-16","CR813011086722/RMCPL21675/1","","28494923807","15-Mar-16","10,000.00","","4,65,234.97",
"15-Mar-16","CR813010074717/RMCPL17349/1","","28494914031","15-Mar-16","5,000.00","","4,60,234.97",
"15-Mar-16","CR813013127548/RMCPL14558/1","","28494907661","15-Mar-16","800","","4,59,434.97",
"15-Mar-16","CR813013127536/RMCPL22799/1","","28494932574","15-Mar-16","5,000.00","","4,54,434.97",
"15-Mar-16","CR813012108864/RMCPL18236/1","","28494892813","15-Mar-16","2,000.00","","4,52,434.97",
"15-Mar-16","CR813010074713/RMCPL24787/1","","28494937020","15-Mar-16","5,000.00","","4,47,434.97",
"15-Mar-16","CR813010074712/RMCPL19668/1","","28494916492","15-Mar-16","5,000.00","","4,42,434.97",
"15-Mar-16","CR813010074725/RMCPL19237/1","","28494893363","15-Mar-16","3,000.00","","4,39,434.97",
"15-Mar-16","CR813011086743/RMCPL16831/1","","28494974126","15-Mar-16","500","","4,38,934.97",
"15-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494934120","15-Mar-16","","2,55,37,700.00","2,59,76,634.97",
"15-Mar-16","CR813207567302RMCPL16658120","","28494875317","15-Mar-16","2,000.00","","2,59,74,634.97",
"15-Mar-16","CR813207567316RMCPL16251120","","28494952806","15-Mar-16","1,400.00","","2,59,73,234.97",
"15-Mar-16","CR813117458047RMCPL16197110","","28494950350","15-Mar-16","1,000.00","","2,59,72,234.97",
"15-Mar-16","CR813110340799RMCPL22847110","","28494881295","15-Mar-16","500","","2,59,71,734.97",
"15-Mar-16","CR813110340820RMCPL20319110","","28494898462","15-Mar-16","2,000.00","","2,59,69,734.97",
"15-Mar-16","CR813110340802RMCPL22522110","","28494966332","15-Mar-16","2,500.00","","2,59,67,234.97",
"15-Mar-16","CR813110340810RMCPL14097110","","28494972976","15-Mar-16","500","","2,59,66,734.97",
"15-Mar-16","CR813110340828RMCPL25985110","","28494885468","15-Mar-16","4,500.00","","2,59,62,234.97",
"15-Mar-16","CR813110340818RMCPL18859110","","28494887029","15-Mar-16","10,000.00","","2,59,52,234.97",
"15-Mar-16","CR813117458061RMCPL18799110","","28494859950","15-Mar-16","1,000.00","","2,59,51,234.97",
"15-Mar-16","CR813117458082RMCPL18320110","","28494967750","15-Mar-16","2,000.00","","2,59,49,234.97",
"15-Mar-16","TRF TO","Indiaforensic SERVICES I","28494964810","15-Mar-16","1,50,00,000.00","","1,09,49,234.97",
"15-Mar-16","TRF TO","Indiaforensic SERVICES I","28494966164","15-Mar-16","1,05,00,000.00","","4,49,234.97",
"15-Mar-16","AEPS ACQ CR ADJ FEES 1505","","28494913852","15-Mar-16","112","","4,49,123.47",
"15-Mar-16","AEPS ACQ REP ADJ FEES 150","","28494893617","15-Mar-16","","44.25","4,49,167.72",
"15-Mar-16","AEPS INCOME DT 15-05-2018","","28494957675","15-Mar-16","","60,150.07","5,09,317.79",
"15-Mar-16","AEPS GST INC DT 15-05-201","","28494929268","15-Mar-16","","12,030.01","5,21,347.80",
"15-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494885083","15-Mar-16","","2,45,47,800.00","2,50,69,147.80",
"15-Mar-16","TRF TO","Indiaforensic SERVICES I","28494957109","15-Mar-16","1,50,00,000.00","","1,00,69,147.80",
"15-Mar-16","TRF TO","Indiaforensic SERVICES I","28494911083","15-Mar-16","96,00,000.00","","4,69,147.80",
"15-Mar-16","AEPS ACQUIRING ADJ FEES 1","","28494881418","15-Mar-16","44","","4,69,103.55",
"15-Mar-16","AEPS INCOME DT 16-05-2018","","28494967456","15-Mar-16","","58,540.49","5,27,644.04",
"15-Mar-16","AEPS GST INC DT 16-05-201","","28494878538","15-Mar-16","","11,708.10","5,39,352.14",
"15-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494961501","15-Mar-16","","2,33,93,800.00","2,39,33,152.14",
"15-Mar-16","CR813512351165/RMCPL23035/1","","28494961491","15-Mar-16","2,000.00","","2,39,31,152.14",
"15-Mar-16","CR813516405365/RMCPL14542/1","","28494946691","15-Mar-16","500","","2,39,30,652.14",
"15-Mar-16","CR813512351174/RMCPL20185/1","","28494936710","15-Mar-16","1,000.00","","2,39,29,652.14",
"15-Mar-16","CR813515384176/RMCPL22824/1","","28494878104","15-Mar-16","500","","2,39,29,152.14",
"15-Mar-16","CR813516405373/RMCPL25283/1","","28494951809","15-Mar-16","10,000.00","","2,39,19,152.14",
"15-Mar-16","CR813516405357/RMCPL21822/1","","28494888821","15-Mar-16","8,600.00","","2,39,10,552.14",
"15-Mar-16","CR813510301416/RMCPL15314/1","","28494955376","15-Mar-16","1,000.00","","2,39,09,552.14",
"15-Mar-16","CR813510301389/RMCPL16346/1","","28494893616","15-Mar-16","10,000.00","","2,38,99,552.14",
"15-Mar-16","CR813512341118/RMCPL23144/1","","28494918577","15-Mar-16","1,000.00","","2,38,98,552.14",
"15-Mar-16","CR813515384178/RMCPL18236/1","","28494920833","15-Mar-16","1,400.00","","2,38,97,152.14",
"15-Mar-16","CR813411023393/RMCPL21454/1","","28494910728","15-Mar-16","600","","2,38,96,552.14",
"15-Mar-16","CR813411034071/RMCPL23158/1","","28494915932","15-Mar-16","500","","2,38,96,052.14",
"15-Mar-16","CR813411023401/RMCPL16204/1","","28494931662","15-Mar-16","5,000.00","","2,38,91,052.14",
"15-Mar-16","TRF TO","Indiaforensic SERVICES I","28494971772","15-Mar-16","1,50,00,000.00","","88,91,052.14",
"15-Mar-16","TRF TO","Indiaforensic SERVICES I","28494881766","15-Mar-16","85,00,000.00","","3,91,052.14",
"15-Mar-16","AEPS ACQUIRING ADJ FEES 1","","28494934344","15-Mar-16","18","","3,91,034.44",
"15-Mar-16","AEPS ACQ CR ADJ FEES 1705","","28494945349","15-Mar-16","121","","3,90,913.49",
"15-Mar-16","AEPS ACQ REP ADJ FEES 170","","28494873762","15-Mar-16","","44.25","3,90,957.74",
"15-Mar-16","AEPS INCOME DT 17-05-2018","","28494882315","15-Mar-16","","55,344.94","4,46,302.68",
"15-Mar-16","AEPS GST INC DT 17-05-201","","28494961829","15-Mar-16","","11,068.99","4,57,371.67",
"15-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494935136","15-Mar-16","","2,03,43,600.00","2,08,00,971.67",
"15-Mar-16","TRF TO","Indiaforensic SERVICES I","28494865808","15-Mar-16","1,00,00,000.00","","1,08,00,971.67",
"15-Mar-16","TRF TO","Indiaforensic SERVICES I","28494909749","15-Mar-16","1,00,00,000.00","","8,00,971.67",
"15-Mar-16","AEPS INCOME DT 18-05-2018","","28494860124","15-Mar-16","","48,551.66","8,49,523.33",
"15-Mar-16","AEPS GST INC DT 18-05-201","","28494964925","15-Mar-16","","9,710.33","8,59,233.66",
"15-Mar-16","AEPS ACQ REP ADJ FEES 180","","28494916080","15-Mar-16","","17.7","8,59,251.36",
"15-Mar-16","Chq Book Issuance Charges","","28494902488","15-Mar-16","100","","8,59,151.36",
"15-Mar-16","","GST","28494923052","15-Mar-16","18","","8,59,133.36",
"15-Mar-16","MAW/5029649805879772/Cudd","","28494955041","15-Mar-16","","3,000.00","8,62,133.36",
"15-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494912455","15-Mar-16","","2,12,58,100.00","2,21,20,233.36",
"15-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494955540","15-Mar-16","","1,33,16,800.00","3,54,37,033.36",
"15-Mar-16","TRF TO","Indiaforensic SERVICES I","28494892474","15-Mar-16","1,50,00,000.00","","2,04,37,033.36",
"15-Mar-16","TRF TO","Indiaforensic SERVICES I","28494901502","15-Mar-16","50,00,000.00","","1,54,37,033.36",
"15-Mar-16","TRF TO","Indiaforensic SERVICES I","28494951845","15-Mar-16","1,50,00,000.00","","4,37,033.36",
"15-Mar-16","AEPS INCOME DT 19-05-2018","","28494885115","15-Mar-16","","50,529.83","4,87,563.19",
"15-Mar-16","AEPS GST INC DT 19-05-201","","28494973103","15-Mar-16","","10,105.97","4,97,669.16",
"15-Mar-16","AEPS INCOME DT 20-05-2018","","28494973416","15-Mar-16","","32,362.52","5,30,031.68",
"15-Mar-16","AEPS GST INC DT 20-05-201","","28494967833","15-Mar-16","","6,472.50","5,36,504.18",
"16-Mar-16","AEPS ACQ CR ADJ FEES 1905","","28494901621","16-Mar-16","212","","5,36,291.78",
"16-Mar-16","CR813608532709/RMCPL22989/1","","28494925451","16-Mar-16","500","","5,35,791.78",
"16-Mar-16","CR813612607046/RMCPL11862/1","","28494866058","16-Mar-16","3,000.00","","5,32,791.78",
"16-Mar-16","CR813619715117/RMCPL12685/1","","28494895450","16-Mar-16","1,000.00","","5,31,791.78",
"16-Mar-16","CR813616665041/RMCPL09827/1","","28494874699","16-Mar-16","1,000.00","","5,30,791.78",
"16-Mar-16","CR813616674575/RMCPL16346/1","","28494908654","16-Mar-16","1,000.00","","5,29,791.78",
"16-Mar-16","CR813611580858/RMCPL20185/1","","28494912948","16-Mar-16","1,000.00","","5,28,791.78",
"16-Mar-16","CR813716965748/RMCPL22261/1","","28494890684","16-Mar-16","2,000.00","","5,26,791.78",
"16-Mar-16","CR813710845670/RMCPL14462/1","","28494905730","16-Mar-16","4,000.00","","5,22,791.78",
"16-Mar-16","CR813712897037/RMCPL25095/1","","28494937415","16-Mar-16","6,000.00","","5,16,791.78",
"16-Mar-16","CR813717976588/RMCPL18789/1","","28494970152","16-Mar-16","3,000.00","","5,13,791.78",
"16-Mar-16","CR813712908440/RMCPL16909/1","","28494968238","16-Mar-16","10,000.00","","5,03,791.78",
"16-Mar-16","CR813711885218/RMCPL23228/1","","28494870031","16-Mar-16","2,500.00","","5,01,291.78",
"16-Mar-16","CR813713921091/RMCPL22583/1","","28494905736","16-Mar-16","1,000.00","","5,00,291.78",
"16-Mar-16","CR813717976602/RMCPL12785/1","","28494907697","16-Mar-16","10,000.00","","4,90,291.78",
"16-Mar-16","CR813710845667/RMCPL14453/1","","28494966426","16-Mar-16","6,000.00","","4,84,291.78",
"16-Mar-16","CR813717976575/RMCPL19721/1","","28494927472","16-Mar-16","1,500.00","","4,82,791.78",
"16-Mar-16","CR813712897054/RMCPL17454/1","","28494936327","16-Mar-16","500","","4,82,291.78",
"16-Mar-16","CR813716965749/RMCPL24475/1","","28494867314","16-Mar-16","10,000.00","","4,72,291.78",
"16-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494877985","16-Mar-16","","2,09,59,900.00","2,14,32,191.78",
"16-Mar-16","TRF TO","Indiaforensic SERVICES I","28494968871","16-Mar-16","1,00,00,000.00","","1,14,32,191.78",
"16-Mar-16","TRF TO","Indiaforensic SERVICES I","28494919154","16-Mar-16","1,00,00,000.00","","14,32,191.78",
"16-Mar-16","TRF TO","Indiaforensic SERVICES I","28494933383","16-Mar-16","10,00,000.00","","4,32,191.78",
"16-Mar-16","AEPS INCOME DT 21-05-2018","","28494968405","16-Mar-16","","50,858.22","4,83,050.00",
"16-Mar-16","AEPS GST INC DT 21-05-201","","28494958621","16-Mar-16","","10,171.64","4,93,221.64",
"16-Mar-16","AEPS ACQUIRING ADJ FEES 2","","28494931089","16-Mar-16","18","","4,93,203.94",
"16-Mar-16","MAW/5029649800521213/NAGA","","28494903748","16-Mar-16","","1,000.00","4,94,203.94",
"16-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494860977","16-Mar-16","","2,32,92,700.00","2,37,86,903.94",
"16-Mar-16","CR814010556839/RMCPL19369/2","","28494897326","16-Mar-16","2,300.00","","2,37,84,603.94",
"16-Mar-16","CR813911374048/RMCPL13536/1","","28494904408","16-Mar-16","1,000.00","","2,37,83,603.94",
"16-Mar-16","CR813911374051/RMCPL11794/1","","28494890945","16-Mar-16","1,000.00","","2,37,82,603.94",
"16-Mar-16","CR813916422161/RMCPL19834/1","","28494893174","16-Mar-16","2,500.00","","2,37,80,103.94",
"16-Mar-16","CR813916422179/RMCPL17150/1","","28494964622","16-Mar-16","5,000.00","","2,37,75,103.94",
"16-Mar-16","CR813916422254/RMCPL09726/1","","28494868986","16-Mar-16","10,000.00","","2,37,65,103.94",
"16-Mar-16","CR813916422262/RMCPL15446/1","","28494861878","16-Mar-16","10,000.00","","2,37,55,103.94",
"16-Mar-16","CR813910357191/RMCPL20827/1","","28494890239","16-Mar-16","6,000.00","","2,37,49,103.94",
"16-Mar-16","CR813918451696/RMCPL22063/1","","28494917273","16-Mar-16","2,000.00","","2,37,47,103.94",
"16-Mar-16","CR813916422175/RMCPL26215/1","","28494944187","16-Mar-16","1,000.00","","2,37,46,103.94",
"16-Mar-16","CR813910356269/RMCPL19146/1","","28494952578","16-Mar-16","500","","2,37,45,603.94",
"16-Mar-16","CR813916422162/RMCPL20328/1","","28494932984","16-Mar-16","3,000.00","","2,37,42,603.94",
"16-Mar-16","CR813916422234/RMCPL16092/1","","28494957243","16-Mar-16","1,500.00","","2,37,41,103.94",
"16-Mar-16","CR813916422144/RMCPL16338/1","","28494947662","16-Mar-16","5,000.00","","2,37,36,103.94",
"16-Mar-16","CR813918451678/RMCPL18298/1","","28494877870","16-Mar-16","8,000.00","","2,37,28,103.94",
"16-Mar-16","CR813811143660/RMCPL10689/1","","28494928069","16-Mar-16","10,000.00","","2,37,18,103.94",
"16-Mar-16","CR813811143641/RMCPL22456/1","","28494968918","16-Mar-16","2,000.00","","2,37,16,103.94",
"16-Mar-16","CR813811143653/RMCPL16787/1","","28494894146","16-Mar-16","2,000.00","","2,37,14,103.94",
"16-Mar-16","CR813811143629/RMCPL24949/1","","28494900707","16-Mar-16","10,000.00","","2,37,04,103.94",
"16-Mar-16","CR813810126492/RMCPL22338/1","","28494908910","16-Mar-16","1,000.00","","2,37,03,103.94",
"16-Mar-16","CR813811143646/RMCPL22442/1","","28494916777","16-Mar-16","10,000.00","","2,36,93,103.94",
"16-Mar-16","CR813812152959/RMCPL20471/1","","28494884726","16-Mar-16","2,000.00","","2,36,91,103.94",
"16-Mar-16","CR813811143674/RMCPL04231/1","","28494966345","16-Mar-16","1,000.00","","2,36,90,103.94",
"16-Mar-16","CR813811143671/RMCPL24482/1","","28494870777","16-Mar-16","2,600.00","","2,36,87,503.94",
"16-Mar-16","CR813811143626/RMCPL14465/1","","28494897144","16-Mar-16","2,500.00","","2,36,85,003.94",
"16-Mar-16","CR813816203542/RMCPL17395/1","","28494967508","16-Mar-16","9,000.00","","2,36,76,003.94",
"16-Mar-16","CR813812152976/RMCPL19298/1","","28494948645","16-Mar-16","1,000.00","","2,36,75,003.94",
"16-Mar-16","CR813816203545/RMCPL19721/1","","28494949128","16-Mar-16","1,300.00","","2,36,73,703.94",
"16-Mar-16","TRF TO","Indiaforensic SERVICES I","28494921255","16-Mar-16","1,50,00,000.00","","86,73,703.94",
"16-Mar-16","TRF TO","Indiaforensic SERVICES I","28494887362","16-Mar-16","82,00,000.00","","4,73,703.94",
"16-Mar-16","AEPS INCOME DT 22-05-2018","","28494891665","16-Mar-16","","57,170.03","5,30,873.97",
"16-Mar-16","AEPS GST INC DT 22-05-201","","28494948993","16-Mar-16","","11,434.01","5,42,307.98",
"16-Mar-16","AEPS ACQUIRING ADJ FEES 2","","28494863139","16-Mar-16","18","","5,42,290.28",
"16-Mar-16","AEPS ACQ CR ADJ FEES 2205","","28494957080","16-Mar-16","355","","5,41,935.10",
"16-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494899757","16-Mar-16","","2,05,14,400.00","2,10,56,335.10",
"16-Mar-16","TRF TO","Indiaforensic SERVICES I","28494881405","16-Mar-16","1,50,00,000.00","","60,56,335.10",
"16-Mar-16","TRF TO","Indiaforensic SERVICES I","28494867002","16-Mar-16","56,00,000.00","","4,56,335.10",
"16-Mar-16","AEPS INCOME DT 23-05-2018","","28494874483","16-Mar-16","","50,464.07","5,06,799.17",
"16-Mar-16","AEPS GST INC DT 23-05-201","","28494882203","16-Mar-16","","10,092.81","5,16,891.98",
"16-Mar-16","AEPS ACQUIRING ADJ FEES 2","","28494925562","16-Mar-16","148","","5,16,744.48",
"16-Mar-16","AEPS ACQ CR ADJ FEES 2305","","28494869620","16-Mar-16","355","","5,16,389.31",
"16-Mar-16","CB814110752086/RMCPL25879/2","","28494862503","16-Mar-16","2,000.00","","5,14,389.31",
"16-Mar-16","CB814110751964/RMCPL23387/2","","28494915622","16-Mar-16","2,500.00","","5,11,889.31",
"16-Mar-16","CB814113821728/RMCPL19746/2","","28494890525","16-Mar-16","2,000.00","","5,09,889.31",
"16-Mar-16","CB814113821828/RMCPL09608/2","","28494881825","16-Mar-16","10,000.00","","4,99,889.31",
"16-Mar-16","CB814113821783/RMCPL17789/2","","28494895146","16-Mar-16","1,000.00","","4,98,889.31",
"16-Mar-16","CB814113821799/RMCPL23561/2","","28494863068","16-Mar-16","2,500.00","","4,96,389.31",
"16-Mar-16","CB814110752033/RMCPL18664/2","","28494887022","16-Mar-16","10,000.00","","4,86,389.31",
"16-Mar-16","CB814113821658/RMCPL22583/2","","28494888349","16-Mar-16","7,000.00","","4,79,389.31",
"16-Mar-16","CB814113821567/RMCPL09758/2","","28494963353","16-Mar-16","3,000.00","","4,76,389.31",
"16-Mar-16","CB814112794181/RMCPL24460/2","","28494891189","16-Mar-16","5,000.00","","4,71,389.31",
"16-Mar-16","CB814110752115/RMCPL19589/2","","28494930951","16-Mar-16","1,500.00","","4,69,889.31",
"16-Mar-16","CB814110752039/RMCPL16346/2","","28494876329","16-Mar-16","2,000.00","","4,67,889.31",
"16-Mar-16","CB814110752017/RMCPL18488/2","","28494894668","16-Mar-16","2,000.00","","4,65,889.31",
"16-Mar-16","CB814110752113/RMCPL16624/2","","28494871730","16-Mar-16","3,000.00","","4,62,889.31",
"16-Mar-16","CB814110752024/RMCPL15393/2","","28494911776","16-Mar-16","4,000.00","","4,58,889.31",
"16-Mar-16","CB814110752015/RMCPL18980/2","","28494958570","16-Mar-16","5,000.00","","4,53,889.31",
"16-Mar-16","CB814111783080/RMCPL00045/2","","28494898866","16-Mar-16","1,800.00","","4,52,089.31",
"16-Mar-16","CB814112794207/RMCPL17491/2","","28494932990","16-Mar-16","2,400.00","","4,49,689.31",
"16-Mar-16","CB814113821666/RMCPL18460/2","","28494947320","16-Mar-16","5,000.00","","4,44,689.31",
"16-Mar-16","CB814113821577/RMCPL22775/2","","28494917639","16-Mar-16","500","","4,44,189.31",
"16-Mar-16","CB814113821610/RMCPL17213/2","","28494951302","16-Mar-16","4,000.00","","4,40,189.31",
"16-Mar-16","CB814112794210/RMCPL24462/2","","28494943215","16-Mar-16","1,000.00","","4,39,189.31",
