DATE,TRANSACTION DETAILS,CHQ.NO./ Ref No.,VALUE DATE,WITHDRAWAL AMT,DEPOSIT AMT,BALANCE AMT
05 - Jan - 15,INDO GIBL Indiaforensic STL14071,28494927118,05 - Jan - 15,"3,67,90000",,"8,88,25,72000"
05 - Jan - 15,INDO GIBL Indiaforensic STL15071,28494973661,05 - Jan - 15,"1,08,00000",,"8,87,17,72000"
05 - Jan - 15,INDO GIBL Indiaforensic STL16071,28494912451,05 - Jan - 15,"64,80000",,"8,86,52,92000"
05 - Jan - 15,INDO GIBL Indiaforensic STL17071,28494880266,05 - Jan - 15,"1,41,00000",,"8,85,11,92000"
05 - Jan - 15,INDO GIBL Indiaforensic STL18071,28494880897,05 - Jan - 15,"61,75000",,"8,84,50,17000"
05 - Jan - 15,INDO GIBL Indiaforensic STL19071,28494901044,05 - Jan - 15,"67,92000",,"8,83,82,25000"
05 - Jan - 15,INDO GIBL Indiaforensic STL20071,28494965834,05 - Jan - 15,"78,10000",,"8,83,04,15000"
05 - Jan - 15,INDO GIBL Indiaforensic STL21071,28494888819,05 - Jan - 15,"35,65000",,"8,82,68,50000"
06 - Jan - 15,INDO GIBL Indiaforensic STL22071,28494893861,06 - Jan - 15,"2,06,00000",,"8,80,62,50000"
06 - Jan - 15,INDO GIBL Indiaforensic STL24071,28494911990,06 - Jan - 15,"35,30000",,"8,80,27,20000"
06 - Jan - 15,INDO GIBL Indiaforensic STL25071,28494911751,06 - Jan - 15 .,"49,80000",,"8,79,77,38000"
06 - Jan - 15,INDO GIBL Indiaforensic STL26071,28494973384,06 - Jan - 15,"53,00000",,"8,79,24,38000"
06 - Jan - 15,INDO GIBL Indiaforensic STL27071,28494884340,06 - Jan - 15,"91,30000",,"8,78,33,08000"
06 - Jan - 15,INDO GIBL Indiaforensic STL28071,28494942065,06 - Jan - 15 .,"57,49900",,"8,77,75,58100"
07 - Jan - 15,INDO GIBL Indiaforensic STL30071,28494894067,07 - Jan - 15,"20,00000",,"8,77,55,57100"
,INDO GIBL Indiaforensic STL31071,28494949297,,"19,40000",,"8,77,36,17100"
07 - Jan - 15,INDO GIBL Indiaforensic STL01081,28494884546,07 - Jan - 15,"40,50000",,"8,76,95,67100"
07 - Jan - 15,INDO GIBL Indiaforensic STL02081,28494918410,07 - Jan - 15,"2,42,30000",,"8,74,53,37100"
08 - Jan - 15,INDO GIBL Indiaforensic STL03081,28494920133,08 - Jan - 15,"90,10000",,"8,73,63,27100"
08 - Jan - 15,INDO GIBL Indiaforensic STL04081,28494880910,08 - Jan - 15,"1,13,25000",,"8,72,50,02100"
08 - Jan - 15,INDO GIBL Indiaforensic STL05081,28494883166,08 - Jan - 15,"12,50000",,"8,72,37,52100"
08 - Jan - 15,INDO GIBL Indiaforensic STL06081,28494943114,"08 - Jan - 15 ,","40,00000",,"8,71,97,52100"
09 - Jan - 15,INDO GIBL Indiaforensic STL07081,28494895264,09 - Jan - 15,"2,06,90000",,"8,69,90,62100"
09 - Jan - 15,INDO GIBL Indiaforensic STL08081,28494916859,09 - Jan - 15,"2,76,00000",,"8,67,14,62100"
09 - Jan - 15,INDO GIBL Indiaforensic STL09081,28494926549,09 - Jan - 15,"1,71,00000",,"8,65,43,62100"
09 - Jan - 15,INDO GIBL Indiaforensic STL10081,28494943592,09 - Jan - 15,"40,10000",,"8,65,03,52100"
10 - Jan - 15,INDO GIBL Indiaforensic STL11081,28494927668,10 - Jan - 15,"1,89,80000",,"8,63,13,72100"
10 - Jan - 15,INDO GIBL Indiaforensic STL12081,28494929541,10 - Jan - 15,"55,80000",,"8,62,57,92100"
